Experiement  date published(based on article),container Material,How Submerged,Temp(C),Time(Min),Starting Cell Count(Log CFU/g),Cell Count(Log CFU/g),Dataset Origin
2023-Mvuyekure,plastic,entirely,60.0,0.0,2,2.0,Dataset with the blood Summary
2023-Mvuyekure,plastic,entirely,60.0,1.0,2,2.08,
2023-Mvuyekure,plastic,entirely,60.0,3.0,2,1.73,
2023-Mvuyekure,plastic,entirely,60.0,5.0,2,1.2,
2023-Mvuyekure,plastic,entirely,60.0,7.5,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,10.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,12.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,15.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,20.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,30.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,60.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,0.0,2,2.0,
2023-Mvuyekure,plastic,entirely,60.0,1.0,2,2.26,
2023-Mvuyekure,plastic,entirely,60.0,3.0,2,2.36,
2023-Mvuyekure,plastic,entirely,60.0,5.0,2,1.6,
2023-Mvuyekure,plastic,entirely,60.0,7.5,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,10.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,12.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,15.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,20.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,30.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,60.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,0.0,2,2.0,
2023-Mvuyekure,plastic,entirely,60.0,1.0,2,1.88,
2023-Mvuyekure,plastic,entirely,60.0,3.0,2,1.94,
2023-Mvuyekure,plastic,entirely,60.0,5.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,7.5,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,10.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,12.0,2,0.9,
2023-Mvuyekure,plastic,entirely,60.0,15.0,2,0.9,
